Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alex Caruso,5,26,LAL,22,0,18.7,2.0,4.4,0.46399999999999997,1.0,2.3,0.44,1.0,2.1,0.489,0.5770000000000001,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1.0,0.2,1.1,1.6,5.5,11.5,0.596,0.515,0.124,3.1,11.0,7.2,16.0,2.6,0.8,19.6,13.4,0.3,0.8,1.0,0.122,-1.5,2.2,0.7,0.3
Chris Chiozza,5,25,BRK,12,0,9.3,1.0,3.4,0.293,0.4,1.5,0.278,0.6,1.9,0.304,0.354,0.8,0.9,0.818,0.3,0.7,0.9,2.3,0.3,0.3,0.7,0.7,3.2,10.7,0.414,0.439,0.268,3.2,7.6,5.6,31.7,1.7,2.2,14.9,21.0,0.0,0.1,0.0,0.013999999999999999,-2.9,-1.5,-4.4,-0.1
Mike Conley,5,33,UTA,23,23,29.3,5.7,12.7,0.45,2.8,6.8,0.41,2.9,5.9,0.496,0.56,2.3,2.8,0.815,1.0,2.7,3.7,5.8,1.4,0.1,2.0,1.8,16.5,19.8,0.593,0.536,0.223,3.8,9.2,6.6,30.2,2.3,0.2,12.6,23.3,1.9,1.0,2.9,0.207,3.7,0.4,4.1,1.0
Quinn Cook,5,27,LAL,15,0,3.4,0.6,1.4,0.429,0.3,0.7,0.364,0.3,0.7,0.5,0.524,0.3,0.3,0.8,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.1,1.7,12.4,0.56,0.524,0.23800000000000002,0.0,10.6,5.5,14.2,0.9,0.0,11.5,22.3,0.0,0.1,0.1,0.09,-1.9,-1.4,-3.3,0.0
Stephen Curry,5,32,GSW,29,29,34.0,10.0,20.3,0.49200000000000005,5.0,11.8,0.425,5.0,8.6,0.5820000000000001,0.614,5.0,5.3,0.935,0.4,4.9,5.3,6.0,1.2,0.1,3.2,1.9,30.0,25.6,0.6609999999999999,0.578,0.261,1.4,14.8,8.2,31.4,1.7,0.2,12.4,32.2,3.1,1.2,4.3,0.21,7.5,0.0,7.6,2.4
Luka Doncic,5,21,DAL,27,27,35.3,10.0,21.1,0.475,2.4,7.2,0.335,7.6,14.0,0.546,0.532,6.6,8.3,0.795,0.9,7.7,8.6,9.4,1.0,0.7,4.2,2.2,29.1,26.8,0.586,0.34,0.392,2.7,24.2,13.4,47.5,1.4,1.8,14.5,36.0,2.5,0.8,3.4,0.17,6.8,1.0,7.8,2.4
Devon Dotson,5,21,CHI,1,0,10.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.7,0.5,0.0,0.0,0.0,10.9,5.6,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-0.001,-6.2,-2.3,-8.5,0.0
Goran Dragic,5,34,MIA,17,6,26.5,5.2,11.5,0.456,1.6,4.6,0.359,3.6,6.9,0.521,0.528,2.2,2.8,0.809,0.4,2.6,3.1,5.3,0.5,0.1,3.0,2.6,14.4,13.4,0.5660000000000001,0.4,0.24100000000000002,1.8,10.6,6.5,33.7,1.0,0.5,19.1,26.3,0.0,0.4,0.4,0.042,-1.0,-2.3,-3.3,-0.1
Yogi Ferrell,5,27,CLE,2,0,20.0,4.0,10.5,0.381,1.5,4.5,0.33299999999999996,2.5,6.0,0.41700000000000004,0.452,0.0,1.0,0.0,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5,12.7,0.434,0.429,0.095,8.0,11.5,9.7,20.5,3.7,2.3,12.1,26.7,-0.1,0.0,0.0,-0.027999999999999997,-1.9,0.4,-1.5,0.0
Malachi Flynn,5,22,TOR,13,0,8.2,0.8,3.0,0.282,0.4,1.8,0.217,0.5,1.2,0.375,0.34600000000000003,0.2,0.3,0.5,0.1,0.6,0.7,1.2,0.3,0.0,0.3,0.8,2.2,4.5,0.35600000000000004,0.59,0.10300000000000001,1.0,8.6,4.7,20.5,1.8,0.0,8.9,18.0,-0.2,0.1,-0.1,-0.051,-6.7,-1.5,-8.1,-0.2
