Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,0.529,0,1.8,0,6.8,11,0.614,0.529,2,2.5,0.8,0.5,3,3.5,1.3,0.5,0,1,4,15.5
P.J. Washington,PF,22,CHO,24,24,28.8,4,9.6,0.42,1.1,3.3,0.329,3,6.3,0.467,0.476,2,2.7,0.738,1.7,4.9,6.5,3,0.9,1.3,2,2.7,11.2
Yuta Watanabe,SF,26,TOR,18,0,12.4,1,2.8,0.353,0.7,1.6,0.429,0.3,1.3,0.261,0.471,0.4,0.4,1,0.9,2.4,3.3,0.4,0.5,0.6,0.4,1.1,3.1
Tremont Waters,PG,23,BOS,9,1,10,0.7,3,0.222,0.3,1.3,0.25,0.3,1.7,0.2,0.278,0.8,0.9,0.875,0.2,0.7,0.9,2.8,0.6,0,1.4,0.7,2.4
Paul Watson,SF,26,TOR,13,0,3.2,0.7,1.1,0.643,0.6,0.8,0.727,0.1,0.2,0.333,0.929,0,0,0,0.1,0.6,0.7,0.2,0,0.2,0.1,0.5,2
Quinndary Weatherspoon,SG,24,SAS,5,0,4.8,0.2,1,0.2,0,0.2,0,0.2,0.8,0.25,0.2,0.4,0.4,1,0,0.4,0.4,0.6,0.2,0,1.2,1.4,0.8
Russell Westbrook,PG,32,WAS,19,19,33.2,7.3,17.9,0.406,1.2,4.1,0.295,6.1,13.8,0.439,0.44,3.2,5.1,0.619,1.8,7.6,9.4,9.5,0.8,0.4,4.9,2.8,18.9
Coby White,PG,20,CHI,27,27,33.5,5.6,13.8,0.403,2.4,6.8,0.35,3.2,7,0.455,0.489,1.9,2.2,0.867,0.3,4.4,4.7,5.4,0.4,0.1,2.4,2.4,15.4
Derrick White,SG,26,SAS,8,4,23.6,4.3,10.8,0.395,1.9,5.5,0.341,2.4,5.3,0.452,0.483,1.4,1.9,0.733,0.1,1.6,1.8,3.9,1,1,0.9,2.3,11.8
Hassan Whiteside,C,31,SAC,20,0,14.8,3.5,5.7,0.619,0,0.1,0,3.5,5.6,0.625,0.619,1.4,2.6,0.529,1.6,4.1,5.7,0.5,0.3,1.4,1,1.8,8.4
Andrew Wiggins,PF,25,GSW,29,29,32.2,6.7,14.4,0.468,1.9,5.2,0.373,4.8,9.2,0.521,0.535,2.3,3.4,0.67,1,3.7,4.8,2.1,0.7,1.3,1.8,2.4,17.7
Grant Williams,PF,22,BOS,24,6,19.3,1.9,4.3,0.451,0.9,2.2,0.415,1,2,0.49,0.559,0.6,1.2,0.517,1,2,3,1,0.5,0.4,1,3,5.4
Kenrich Williams,PF,26,OKC,28,6,18.3,2.3,4.3,0.537,0.5,1.2,0.441,1.8,3.1,0.575,0.599,0.4,0.7,0.632,1.4,2.5,3.9,1.7,0.8,0.2,0.9,1.7,5.6
